observation_id,battle_id,captured_at,track,game_version,context,result_scope,cohort,participant_scope,troop_name,tier,display_name,canonical_troop_id,identity_status,canonical_default_group,canonical_role,visibility,source_image_sha256,note,survivors,kills,upgrade_ready,deaths,wounded,routed,deployed
rot_2026_09_13_224912_egon_black_rat_victory_field__party_01__row_011,rot_2026_09_13_224912_egon_black_rat_victory_field,2026-09-13T22:49:12-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,Qartheen Elite Hoplite,5,Qartheen Elite Hoplite [T5],qartheen_elite_hoplite,confirmed_id,Infantry,frontline_infantry,full,f49035352a387ebf69c1b9f291ada540c8361ace20777b6ac341d80beac21194,,2,1,0,0,0,0,2
rot_2026_09_13_224912_egon_black_rat_victory_field__party_02__row_001,rot_2026_09_13_224912_egon_black_rat_victory_field,2026-09-13T22:49:12-03:00,realm_of_thrones,unknown,field,completed,Jaime Lannister's Party,allied_party,Unsullied,6,Unsullied [T6],unsullied,confirmed_id,Infantry,frontline_infantry,partial,f49035352a387ebf69c1b9f291ada540c8361ace20777b6ac341d80beac21194,Party begins at the bottom edge; only survivors and kills are fully reliable.,36,48,,,,,
rot_2026_09_13_230153_egon_defense_active_field__party_01__row_001,rot_2026_09_13_230153_egon_defense_active_field,2026-09-13T23:01:53-03:00,realm_of_thrones,unknown,field,active_censored,Egon Emeros' Party,player_party,Qartheen Longbowman,5,Qartheen Longbowman [T5],qartheen_longbowman,confirmed_id,Ranged,ranged,full,cf5da967cb7d025b0b39ebaff748c1924801c4eee65fc83c923b84150f8f73b0,,53,213,0,4,9,0,66
rot_2026_09_13_230153_egon_defense_active_field__party_01__row_002,rot_2026_09_13_230153_egon_defense_active_field,2026-09-13T23:01:53-03:00,realm_of_thrones,unknown,field,active_censored,Egon Emeros' Party,player_party,Unsullied,6,Unsullied [T6],unsullied,confirmed_id,Infantry,frontline_infantry,full,cf5da967cb7d025b0b39ebaff748c1924801c4eee65fc83c923b84150f8f73b0,,79,155,0,5,13,0,97
rot_2026_09_13_230153_egon_defense_active_field__party_01__row_003,rot_2026_09_13_230153_egon_defense_active_field,2026-09-13T23:01:53-03:00,realm_of_thrones,unknown,field,active_censored,Egon Emeros' Party,player_party,Qartheen Enthroned Guardian,6,Qartheen Enthroned Guardian [T6],enthroned_guardian,confirmed_id,Ranged,ranged,full,cf5da967cb7d025b0b39ebaff748c1924801c4eee65fc83c923b84150f8f73b0,,5,97,0,7,20,0,32
rot_2026_09_13_230153_egon_defense_active_field__party_01__row_004,rot_2026_09_13_230153_egon_defense_active_field,2026-09-13T23:01:53-03:00,realm_of_thrones,unknown,field,active_censored,Egon Emeros' Party,player_party,Qarthene Veteran Archer,4,Qarthene Veteran Archer [T4],qartheen_elite_archer,confirmed_id,Ranged,ranged,full,cf5da967cb7d025b0b39ebaff748c1924801c4eee65fc83c923b84150f8f73b0,,11,15,11,1,3,0,15
rot_2026_09_13_230153_egon_defense_active_field__party_01__row_005,rot_2026_09_13_230153_egon_defense_active_field,2026-09-13T23:01:53-03:00,realm_of_thrones,unknown,field,active_censored,Egon Emeros' Party,player_party,Dothraki Khal's Guard,6,Dothraki Khal's Guard [T6],,unresolved_provisional_label,,,full,cf5da967cb7d025b0b39ebaff748c1924801c4eee65fc83c923b84150f8f73b0,,13,14,0,2,3,0,18
rot_2026_09_13_230153_egon_defense_active_field__party_01__row_006,rot_2026_09_13_230153_egon_defense_active_field,2026-09-13T23:01:53-03:00,realm_of_thrones,unknown,field,active_censored,Egon Emeros' Party,player_party,Dothraki Barbarian,5,Dothraki Barbarian [T5],,unresolved_provisional_label,,,full,cf5da967cb7d025b0b39ebaff748c1924801c4eee65fc83c923b84150f8f73b0,,3,11,0,1,3,0,7
rot_2026_09_13_230153_egon_defense_active_field__party_01__row_008,rot_2026_09_13_230153_egon_defense_active_field,2026-09-13T23:01:53-03:00,realm_of_thrones,unknown,field,active_censored,Egon Emeros' Party,player_party,Ghiscari Lockstep Legionnaire,6,Ghiscari Lockstep Legionnaire [T6],ghiscari_unsullied_unbroken,confirmed_id,Infantry,frontline_infantry,full,cf5da967cb7d025b0b39ebaff748c1924801c4eee65fc83c923b84150f8f73b0,,2,5,0,0,0,0,2
rot_2026_09_13_230153_egon_defense_active_field__party_01__row_014,rot_2026_09_13_230153_egon_defense_active_field,2026-09-13T23:01:53-03:00,realm_of_thrones,unknown,field,active_censored,Egon Emeros' Party,player_party,Qartheen Pureborn Warrior,4,Qartheen Pureborn Warrior [T4],qartheen_pureborn_warrior,confirmed_id,Infantry,frontline_infantry,full,cf5da967cb7d025b0b39ebaff748c1924801c4eee65fc83c923b84150f8f73b0,,3,1,2,0,2,0,5
